[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
0.966152559242321,1,1,1.391048655E-05,3.26325512,1.34265475632959E-05,0
0.970574729003202,1,1,1.39107947E-05,3.26920429,1.34880632494028E-05,0
0.974974733597757,1,1,1.39103403E-05,3.27507462,1.35492697257284E-05,0
0.9794830151862,1,1,1.391041735E-05,3.28102364,1.36119818396084E-05,0
0.983885743364877,1,1,1.391062035E-05,3.28678337,1.36732263771793E-05,0
0.988255052567562,1,1,1.39106479E-05,3.29245061,1.37340062580785E-05,0
0.992632188822049,1,1,1.391067675E-05,3.29809276,1.37948949926186E-05,0
0.997046740228745,1,1,1.39107068E-05,3.30374806,1.38563041622459E-05,0
1.00143835227402,1,1,1.39106954E-05,3.30932406,1.39173936929084E-05,0
1.00584102039199,1,1,1.39105566E-05,3.31488437,1.39786369483711E-05,0
1.01020984055431,1,1,1.39107211E-05,3.32033423,1.40394100917974E-05,0
1.01459645873825,1,1,1.39106021E-05,3.32575038,1.41004307848821E-05,0
1.01902147309579,1,1,1.391058525E-05,3.33114891,1.41619846292187E-05,0
1.02342426267185,1,1,1.39105014E-05,3.33646407,1.42232297336331E-05,0
1.02794365183905,1,1,1.391039225E-05,3.3418304,1.4286097025216E-05,0
1.03236030367767,1,1,1.391048195E-05,3.34698175,1.43475352017442E-05,0
1.03683239815057,1,1,1.391070885E-05,3.35210089,1.44097450147287E-05,0
1.04274342590026,1,1,1.39106375E-05,3.3587196,1.44919705398056E-05,0
1.04870449438431,1,1,1.39106104E-05,3.36520051,1.45748921312576E-05,0
1.05457113387929,1,1,1.39106029E-05,3.37141435,1.46565008359516E-05,0
1.06050299013251,1,1,1.39106099E-05,3.3774565,1.47390161049499E-05,0
1.0664460157183,1,1,1.391036605E-05,3.38338552,1.4821686374525E-05,0
1.07230598312725,1,1,1.39107423E-05,3.38896976,1.49032025654585E-05,0
1.07824272577411,1,1,1.39103888E-05,3.39446878,1.49857856319534E-05,0
1.08414862020398,1,1,1.39105726E-05,3.39972916,1.50679400699192E-05,0
1.09004310185043,1,1,1.391064785E-05,3.40481425,1.51499359781175E-05,0
1.09745836134979,1,1,1.391048925E-05,3.41090827,1.52530851548045E-05,0
1.10483412050297,1,1,1.39106615E-05,3.41669862,1.53556858180074E-05,0
1.11219845680319,1,1,1.39104055E-05,3.42218701,1.5458126949386E-05,0
1.11957884731475,1,1,1.39104318E-05,3.4274515,1.55607887884931E-05,0
1.12693157968877,1,1,1.39104906E-05,3.43246571,1.56630686656707E-05,0
1.13575936464175,1,1,1.39105231E-05,3.43820644,1.57858681553796E-05,0
1.14448973512476,1,1,1.391059155E-05,3.44362806,1.59073116405131E-05,0
1.15330916602436,1,1,1.39103849E-05,3.44876998,1.60299943278474E-05,0
1.16217021552422,1,1,1.39105839E-05,3.4538513,1.61532558132146E-05,0
1.1725728941038,1,1,1.39104792E-05,3.4594342,1.6297962432641E-05,0
1.18281716887405,1,1,1.391033815E-05,3.46472127,1.64404649353301E-05,0
