	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Efficiency	Engy_Chg	Engy_DChg	Mid-value_Voltage	CC_Chg_Cap	CC_Chg_Rat	Platform_Cap	Platform_RCap	Platform_Efficiency	Platform_Time	Capacitance_Chg	Capacitance_DChg	rd	REngy_Chg	REngy_DChg	Energy_Efficiency
74	227.65	227.57	227654.91	227568.29	99.96	862.87	847.02	3673.1	0.00	0.00	227.57	227568.29	100.00	2:54:29	0.0000	0.0000	0.0000	862865.40	847022.56	98.16%	
75	227.63	227.52	227630.66	227523.71	99.95	862.79	846.85	3673.1	0.00	0.00	227.52	227523.71	100.00	2:54:27	0.0000	0.0000	0.0000	862792.96	846853.43	98.15%	
76	227.55	227.48	227549.28	227479.53	99.97	862.49	846.69	3673.1	0.00	0.00	227.48	227479.53	100.00	2:54:25	0.0000	0.0000	0.0000	862489.71	846690.72	98.17%	
77	227.53	227.44	227530.96	227436.96	99.96	862.43	846.54	3672.8	0.00	0.00	227.44	227436.96	100.00	2:54:23	0.0000	0.0000	0.0000	862427.87	846542.05	98.16%	
78	227.49	226.31	227487.65	226309.79	99.48	862.27	842.28	3669.7	0.00	0.90	226.31	226309.79	100.00	2:53:31	0.0000	0.0000	0.0000	862268.22	842275.24	97.68%	
79	227.44	227.33	227435.61	227334.69	99.96	862.09	846.17	3672.8	0.00	0.00	227.33	227334.69	100.00	2:54:18	0.0000	0.0000	0.0000	862086.68	846167.58	98.15%	
80	227.39	227.31	227392.39	227311.25	99.96	861.94	846.10	3673.1	0.00	0.00	227.31	227311.25	100.00	2:54:17	0.0000	0.0000	0.0000	861940.03	846096.26	98.16%	
81	227.10	227.27	227104.99	227271.56	100.07	860.89	845.92	3672.8	0.00	0.00	227.27	227271.56	100.00	2:54:15	0.0000	0.0000	0.0000	860885.11	845923.64	98.26%	
82	227.30	227.23	227300.24	227227.17	99.97	861.60	845.77	3672.8	0.00	0.00	227.23	227227.17	100.00	2:54:13	0.0000	0.0000	0.0000	861604.50	845767.48	98.16%	
83	227.25	227.14	227245.50	227142.56	99.95	861.38	845.45	3672.8	0.00	0.18	227.14	227142.56	100.00	2:54:09	0.0000	0.0000	0.0000	861378.00	845445.34	98.15%	
84	227.19	227.10	227191.99	227102.32	99.96	861.21	845.30	3672.8	0.00	0.49	227.10	227102.32	100.00	2:54:07	0.0000	0.0000	0.0000	861211.85	845301.44	98.15%	
85	227.14	227.08	227139.22	227082.99	99.98	861.01	845.22	3672.8	0.00	0.00	227.08	227082.99	100.00	2:54:06	0.0000	0.0000	0.0000	861012.51	845216.14	98.17%	
86	225.92	227.04	225916.86	227040.44	100.50	856.54	845.10	3672.8	0.00	0.00	227.04	227040.44	100.00	2:54:04	0.0000	0.0000	0.0000	856537.42	845103.80	98.67%	
87	227.09	227.00	227085.02	226997.21	99.96	860.83	844.93	3672.8	0.00	37.33	227.00	226997.21	100.00	2:54:02	0.0000	0.0000	0.0000	860833.91	844932.49	98.15%	
88	227.04	226.93	227035.51	226931.73	99.95	860.64	844.70	3672.8	0.00	97.67	226.93	226931.73	100.00	2:53:59	0.0000	0.0000	0.0000	860643.98	844699.31	98.15%	
89	226.96	226.89	226964.30	226887.88	99.97	860.40	844.52	3672.4	0.00	2.07	226.89	226887.88	100.00	2:53:57	0.0000	0.0000	0.0000	860397.47	844524.50	98.16%	
90	226.94	226.86	226941.16	226863.56	99.97	860.32	844.46	3672.4	0.00	40.23	226.86	226863.56	100.00	2:53:56	0.0000	0.0000	0.0000	860323.09	844463.88	98.16%	
91	226.54	226.80	226536.99	226799.83	100.12	858.77	844.20	3672.4	0.00	2.88	226.80	226799.83	100.00	2:53:53	0.0000	0.0000	0.0000	858768.77	844201.23	98.30%	
92	226.83	226.78	226833.26	226778.91	99.98	859.94	844.13	3672.4	0.00	37.38	226.78	226778.91	100.00	2:53:52	0.0000	0.0000	0.0000	859937.73	844128.64	98.16%	
93	226.81	226.71	226805.01	226711.02	99.96	859.82	843.90	3672.4	0.00	63.26	226.71	226711.02	100.00	2:53:49	0.0000	0.0000	0.0000	859818.27	843895.11	98.15%	
94	226.77	226.69	226766.63	226687.53	99.97	859.68	843.80	3672.4	0.00	0.87	226.69	226687.53	100.00	2:53:48	0.0000	0.0000	0.0000	859683.18	843802.44	98.15%	
95	226.70	226.62	226696.61	226621.20	99.97	859.45	843.56	3672.4	0.00	8.63	226.62	226621.20	100.00	2:53:45	0.0000	0.0000	0.0000	859448.92	843558.55	98.15%	
96	226.65	226.58	226651.87	226575.20	99.97	859.27	843.39	3672.4	0.00	0.17	226.58	226575.20	100.00	2:53:43	0.0000	0.0000	0.0000	859269.72	843388.49	98.15%	
97	226.59	226.51	226594.36	226510.04	99.96	859.05	843.13	3672.1	0.00	0.18	226.51	226510.04	100.00	2:53:40	0.0000	0.0000	0.0000	859053.18	843131.31	98.15%	
98	226.17	226.46	226173.72	226463.79	100.13	857.53	842.99	3672.1	0.00	0.00	226.46	226463.79	100.00	2:53:38	0.0000	0.0000	0.0000	857528.89	842985.14	98.30%	
99	226.53	226.44	226528.55	226442.27	99.96	858.85	842.91	3672.1	0.00	0.00	226.44	226442.27	100.00	2:53:37	0.0000	0.0000	0.0000	858845.48	842905.94	98.14%	
