Cycle_ID	Step_ID	Step_Type	Step_Time	Cap	CmpCap	Energy	CmpEng	Capacitance_Chg	Start_Vol	End_Vol	Start_Temperature	End_Temperature
83	165	CCCV_Chg	0.12	227.25	227245.50	861.38	861378.00	227.2	3038.8	4297.1	0.0	0.0	
83	166	CC_DChg	0.12	227.14	227142.56	845.45	845445.34	227.1	4284.4	2999.1	0.0	0.0	
84	167	CCCV_Chg	0.12	227.19	227191.99	861.21	861211.85	227.2	3039.7	4297.1	0.0	0.0	
84	168	CC_DChg	0.12	227.10	227102.32	845.30	845301.44	227.1	4284.4	2999.7	0.0	0.0	
85	169	CCCV_Chg	0.12	227.14	227139.22	861.01	861012.51	227.1	3035.7	4297.1	0.0	0.0	
85	170	CC_DChg	0.12	227.08	227082.99	845.22	845216.14	227.1	4284.4	2999.1	0.0	0.0	
86	171	CCCV_Chg	0.12	225.92	225916.86	856.54	856537.42	225.9	3033.8	4297.1	0.0	0.0	
86	172	CC_DChg	0.12	227.04	227040.44	845.10	845103.80	227.0	4284.7	2999.7	0.0	0.0	
87	173	CCCV_Chg	0.12	227.09	227085.02	860.83	860833.91	227.1	3039.7	4297.1	0.0	0.0	
87	174	CC_DChg	0.12	227.00	226997.21	844.93	844932.49	227.0	4284.4	2999.4	0.0	0.0	
88	175	CCCV_Chg	0.12	227.04	227035.51	860.64	860643.98	227.0	3035.0	4297.1	0.0	0.0	
88	176	CC_DChg	0.12	226.93	226931.73	844.70	844699.31	226.9	4285.4	2999.7	0.0	0.0	
89	177	CCCV_Chg	0.12	226.96	226964.30	860.40	860397.47	227.0	3035.0	4297.1	0.0	0.0	
89	178	CC_DChg	0.12	226.89	226887.88	844.52	844524.50	226.9	4285.0	2999.7	0.0	0.0	
90	179	CCCV_Chg	0.12	226.94	226941.16	860.32	860323.09	226.9	3035.4	4297.1	0.0	0.0	
90	180	CC_DChg	0.12	226.86	226863.56	844.46	844463.88	226.9	4284.4	2999.7	0.0	0.0	
91	181	CCCV_Chg	0.12	226.54	226536.99	858.77	858768.77	226.5	3039.4	4297.1	0.0	0.0	
91	182	CC_DChg	0.12	226.80	226799.83	844.20	844201.23	226.8	4284.4	2999.1	0.0	0.0	
92	183	CCCV_Chg	0.12	226.83	226833.26	859.94	859937.73	226.8	3035.0	4297.1	0.0	0.0	
92	184	CC_DChg	0.12	226.78	226778.91	844.13	844128.64	226.8	4284.4	2998.5	0.0	0.0	
93	185	CCCV_Chg	0.12	226.81	226805.01	859.82	859818.27	226.8	3038.5	4297.1	0.0	0.0	
93	186	CC_DChg	0.12	226.71	226711.02	843.90	843895.11	226.7	4285.4	2999.7	0.0	0.0	
94	187	CCCV_Chg	0.12	226.77	226766.63	859.68	859683.18	226.8	3035.0	4297.1	0.0	0.0	
94	188	CC_DChg	0.12	226.69	226687.53	843.80	843802.44	226.7	4285.4	2999.1	0.0	0.0	
95	189	CCCV_Chg	0.12	226.70	226696.61	859.45	859448.92	226.7	3039.1	4297.1	0.0	0.0	
95	190	CC_DChg	0.12	226.62	226621.20	843.56	843558.55	226.6	4284.4	2998.8	0.0	0.0	
96	191	CCCV_Chg	0.12	226.65	226651.87	859.27	859269.72	226.7	3034.7	4297.1	0.0	0.0	
96	192	CC_DChg	0.12	226.58	226575.20	843.39	843388.49	226.6	4284.4	2998.8	0.0	0.0	
97	193	CCCV_Chg	0.12	226.59	226594.36	859.05	859053.18	226.6	3034.7	4297.1	0.0	0.0	
97	194	CC_DChg	0.12	226.51	226510.04	843.13	843131.31	226.5	4284.4	2999.4	0.0	0.0	
98	195	CCCV_Chg	0.12	226.17	226173.72	857.53	857528.89	226.2	3039.1	4297.1	0.0	0.0	
98	196	CC_DChg	0.12	226.46	226463.79	842.99	842985.14	226.5	4285.0	2999.7	0.0	0.0	
99	197	CCCV_Chg	0.12	226.53	226528.55	858.85	858845.48	226.5	3039.1	4297.1	0.0	0.0	
99	198	CC_DChg	0.12	226.44	226442.27	842.91	842905.94	226.4	4285.0	2999.7	0.0	0.0	
100	199	CCCV_Chg	0.12	226.47	226472.01	858.64	858636.05	226.5	3039.1	4297.1	0.0	0.0	
100	200	CC_DChg	0.12	226.40	226398.04	842.74	842742.19	226.4	4285.0	2999.7	0.0	0.0	
101	201	CCCV_Chg	0.12	226.43	226433.01	858.49	858491.56	226.4	3038.8	4297.1	0.0	0.0	
101	202	CC_DChg	0.12	226.36	226357.28	842.59	842586.79	226.4	4284.4	2999.1	0.0	0.0	
102	203	CCCV_Chg	0.12	226.39	226392.18	858.35	858351.32	226.4	3035.0	4297.1	0.0	0.0	
102	204	CC_DChg	0.12	226.34	226341.45	842.53	842531.23	226.3	4285.0	2999.4	0.0	0.0	
103	205	CCCV_Chg	0.12	226.34	226338.72	858.16	858156.11	226.3	3038.8	4297.1	0.0	0.0	
103	206	CC_DChg	0.12	226.26	226256.64	842.21	842211.89	226.3	4284.4	2999.7	0.0	0.0	
104	207	CCCV_Chg	0.12	226.32	226322.83	858.11	858110.53	226.3	3039.1	4297.1	0.0	0.0	
104	208	CC_DChg	0.12	226.26	226257.15	842.22	842215.56	226.3	4285.0	2999.4	0.0	0.0	
105	209	CCCV_Chg	0.12	226.27	226273.16	857.92	857915.12	226.3	3038.8	4297.1	0.0	0.0	
105	210	CC_DChg	0.12	226.19	226192.07	841.99	841993.07	226.2	4284.4	2999.7	0.0	0.0	
106	211	CCCV_Chg	0.48	135.23	135234.55	486.28	486277.97	135.2	3022.0	3798.3	0.0	0.0	
106	212	CCCV_Chg	0.34	97.34	97339.77	392.44	392444.39	97.3	3772.0	4297.1	0.0	0.0	
106	213	CC_DChg	0.82	230.54	230539.82	862.26	862265.00	230.5	4295.0	2999.7	0.0	0.0	
107	214	CCCV_Chg	0.12	228.64	228640.86	866.39	866386.42	228.6	3021.1	4297.1	0.0	0.0	
107	215	CC_DChg	0.12	225.42	225418.73	839.01	839013.71	225.4	4285.0	2999.7	0.0	0.0	
108	216	CCCV_Chg	0.12	225.73	225733.94	855.92	855915.83	225.7	3039.4	4296.8	0.0	0.0	
108	217	CC_DChg	0.12	225.33	225333.90	838.75	838752.41	225.3	4285.0	2999.4	0.0	0.0	
109	218	CCCV_Chg	0.12	221.99	221991.11	843.10	843097.06	222.0	3038.1	4297.1	0.0	0.0	
109	219	CC_DChg	0.12	225.22	225219.27	838.38	838376.93	225.2	4284.1	2999.4	0.0	0.0	
110	220	CCCV_Chg	0.12	225.29	225291.23	854.30	854296.56	225.3	3038.5	4297.1	0.0	0.0	
110	221	CC_DChg	0.12	225.13	225133.68	838.05	838052.95	225.1	4284.1	2999.1	0.0	0.0	
111	222	CCCV_Chg	0.12	225.21	225213.08	854.00	854003.63	225.2	3033.5	4297.1	0.0	0.0	
111	223	CC_DChg	0.12	225.09	225090.50	837.89	837892.43	225.1	4284.1	2999.1	0.0	0.0	
112	224	CCCV_Chg	0.12	225.13	225127.70	853.72	853715.72	225.1	3033.8	4297.1	0.0	0.0	
112	225	CC_DChg	0.12	225.03	225025.92	837.66	837663.56	225.0	4284.7	2999.4	0.0	0.0	
113	226	CCCV_Chg	0.12	225.05	225053.61	853.45	853452.71	225.1	3033.8	4297.1	0.0	0.0	
113	227	CC_DChg	0.12	224.96	224961.90	837.44	837435.49	225.0	4285.0	2998.2	0.0	0.0	
114	228	CCCV_Chg	0.12	225.00	224997.83	853.24	853243.07	225.0	3037.2	4297.1	0.0	0.0	
114	229	CC_DChg	0.12	224.91	224912.67	837.25	837253.53	224.9	4284.1	2999.7	0.0	0.0	
115	230	CCCV_Chg	0.12	224.98	224976.94	853.18	853176.60	225.0	3038.1	4297.1	0.0	0.0	
115	231	CC_DChg	0.12	224.24	224237.08	834.77	834770.74	224.2	4285.0	2999.7	0.0	0.0	
116	232	CCCV_Chg	0.12	224.88	224883.88	852.82	852821.26	224.9	3034.4	4297.1	0.0	0.0	
116	233	CC_DChg	0.12	224.82	224822.54	836.91	836913.73	224.8	4284.1	2999.4	0.0	0.0	
117	234	CCCV_Chg	0.12	224.86	224858.89	852.75	852750.86	224.9	3033.8	4296.8	0.0	0.0	
117	235	CC_DChg	0.12	224.78	224778.42	836.78	836778.96	224.8	4284.1	2999.7	0.0	0.0	
118	236	CCCV_Chg	0.12	224.80	224804.34	852.56	852555.31	224.8	3038.8	4296.8	0.0	0.0	
118	237	CC_DChg	0.12	224.76	224756.74	836.69	836685.72	224.8	4284.7	2998.8	0.0	0.0	
119	238	CCCV_Chg	0.12	224.79	224789.11	852.50	852497.68	224.8	3037.8	4296.8	0.0	0.0	
119	239	CC_DChg	0.12	224.74	224735.02	836.61	836612.50	224.7	4284.7	2999.4	0.0	0.0	
